"PID","Q26_First.Click","Q26_Last.Click","Q26_Page.Submit","Q26_Click.Count","Q28_First.Click","Q28_Last.Click","Q28_Page.Submit","Q28_Click.Count","attCheck1","attCheck2","BZSH_1","BZSH_2","BZSH_3","BZSH_4","BZSH_5","BZSH_6","BZSH_7","spend_1","spend_2","spend_3","spend_4","spend_5","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","PANAS_21","subjHap_1","subjHap_2","subjHap_3","subjHap_4","ideo_general","ideo_social","ideo_economic","dob","gender","gender_3_TEXT","race","race_5_TEXT","edu","income","feedback","condition","age","passCheck","BZSH_5R","BZSH_6R","subjHap_4R","BZSH","PANASpos","PANASneg","subjHap","ideo","totalDonation","donated"
17,NA,NA,NA,NA,0,0,141.585,0,3,1,2,3,4,5,6,6,3,100,0,0,0,0,3,1,3,2,3,1,2,2,2,3,2,2,1,3,3,4,3,2,2,2,2,3,3,3,5,6,5,6,1990,"woman","","white","",3,5,"",2,30,1,2,2,3,3,2.72727272727273,1.8,3,5.66666666666667,100,1
18,NA,NA,NA,NA,0,0,440.245,0,3,1,2,2,2,1,7,6,2,80,5,10,5,0,2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,3,1,2,2,1,3,4,4,3,5,4,5,4,1991,"other","Non-Binary","white","",4,3,"",2,29,1,1,2,3,1.71428571428571,1.90909090909091,1.1,3.5,4.33333333333333,100,1
19,0,0,147.829,0,NA,NA,NA,NA,2,1,1,1,1,2,4,4,4,5,28,18,21,28,4,1,3,1,4,2,2,1,4,4,1,5,1,4,1,4,5,1,3,1,5,5,4,4,3,4,4,3,1982,"man","","white","",3,5,"",1,38,1,4,4,5,2.42857142857143,4.09090909090909,1.2,4.5,3.66666666666667,72,1
20,129.202,129.202,157.179,1,NA,NA,NA,NA,2,2,3,3,1,5,5,6,5,25,25,25,25,0,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,2,3,5,2,1,2,1998,"woman","","white","",3,4,"",1,22,1,3,2,3,3.14285714285714,1.27272727272727,1.1,2.75,1.66666666666667,100,1
21,17.233,134.243,151.004,5,NA,NA,NA,NA,2,1,2,2,2,6,5,5,4,10,0,0,0,90,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,3,1,1,1,1,3,3,3,7,2,2,1,1993,"man","","white","",4,1,"",1,27,1,3,3,1,3.14285714285714,1.27272727272727,1.3,2.5,1.66666666666667,10,1
23,NA,NA,NA,NA,0,0,227.124,0,3,1,1,3,2,5,4,5,4,5,12,40,3,40,4,5,3,5,5,2,4,5,5,3,5,5,1,2,5,4,5,3,5,4,5,7,7,7,1,4,4,4,1968,"woman","","white","",4,12,"Good luck with your research!",2,52,1,4,3,7,3.14285714285714,4.18181818181818,3.9,7,4,60,1
24,NA,NA,NA,NA,35.763,46.483,572.229,2,3,1,1,1,3,7,7,7,3,0,0,0,0,100,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,3,1,1,1,3,7,7,7,1,2,1,2,1982,"man","","white","",4,11,"",2,38,1,1,1,7,2.42857142857143,1.63636363636364,1.1,7,1.66666666666667,0,0
25,5.341,141.668,142.871,29,NA,NA,NA,NA,2,2,1,1,3,5,6,6,3,0,100,0,0,0,3,2,1,2,1,1,2,1,1,2,4,4,1,2,2,4,4,2,1,2,2,2,2,2,5,1,1,1,1995,"woman","","white","",3,4,"",1,25,1,2,2,3,2.42857142857143,2.27272727272727,1.9,2.25,1,100,1
26,NA,NA,NA,NA,0,0,168.317,0,3,1,1,2,1,4,7,7,2,100,0,0,0,0,3,1,1,1,1,1,1,1,3,1,2,3,1,3,4,3,3,1,1,1,1,3,4,4,4,2,2,2,1991,"woman","","white","",4,9,"",2,29,1,1,1,4,1.71428571428571,2.09090909090909,1.4,3.75,2,100,1
27,NA,NA,NA,NA,124.535,139.038,142.454,15,3,1,1,1,1,1,7,7,1,0,0,0,0,100,5,1,4,1,5,1,1,1,5,4,2,5,1,5,1,5,4,1,4,1,4,6,6,5,1,1,1,2,1974,"woman","","white","",5,8,"",2,46,1,1,1,7,1,4.54545454545455,1.1,6,1.33333333333333,0,0
28,NA,NA,NA,NA,1.968,118.704,171.832,7,3,1,1,1,1,1,5,5,2,0,0,0,0,100,3,1,3,1,3,1,1,1,3,2,1,5,1,2,1,5,5,2,3,1,3,3,3,3,5,2,1,4,1991,"man","","white","",4,2,"",2,29,1,3,3,3,1.71428571428571,3.36363636363636,1.1,3,2.33333333333333,0,0
29,1.139,127.982,141.58,4,NA,NA,NA,NA,2,2,3,1,2,3,4,4,2,18,27,20,35,0,3,1,2,1,3,1,1,1,3,3,1,3,2,4,2,4,3,1,2,1,3,5,5,3,5,2,2,2,1985,"man","","white","",4,5,"",1,35,1,4,4,3,2.71428571428571,3,1.2,4,2,100,1
31,NA,NA,NA,NA,23.853,158.484,159.097,6,3,1,4,3,5,4,4,4,3,57,0,0,0,43,2,3,3,2,3,2,1,2,3,3,2,3,1,3,2,2,2,1,2,2,3,5,5,4,4,4,4,4,1998,"woman","","white","",4,5,"none",2,22,1,4,4,4,3.85714285714286,2.63636363636364,1.8,4.5,4,57,1
33,0,0,142.339,0,NA,NA,NA,NA,2,1,3,3,3,6,5,5,6,0,50,0,50,0,3,1,3,1,1,2,1,1,2,1,2,3,1,2,3,3,3,3,3,1,3,6,5,5,1,2,2,2,1995,"man","","white","",5,9,"",1,25,1,3,3,7,3.85714285714286,2.45454545454545,1.6,5.75,2,100,1
34,13.942,65.973,156.895,2,NA,NA,NA,NA,2,2,3,2,2,6,4,4,5,0,0,0,0,100,3,1,4,1,1,1,1,1,2,1,1,3,1,1,2,1,2,1,1,1,3,4,4,3,3,3,3,5,1985,"woman","","white","",4,11,"",1,35,1,4,4,5,3.71428571428571,2,1.1,4,3.66666666666667,0,0
35,5.74,133.594,141.374,8,NA,NA,NA,NA,2,2,2,2,2,6,6,5,2,0,0,0,0,100,4,1,3,1,2,1,1,1,3,2,1,3,1,2,2,2,3,2,2,1,3,5,4,5,3,5,3,5,1982,"man","","white","",4,8,"",1,38,1,2,3,5,2.71428571428571,2.63636363636364,1.2,4.75,4.33333333333333,0,0
36,0,0,160.665,0,NA,NA,NA,NA,2,2,4,4,4,5,4,5,4,0,100,0,0,0,4,3,1,1,3,1,2,1,1,1,1,3,1,1,1,3,4,1,2,1,2,4,4,3,4,2,2,2,1973,"woman","","white","",3,5,"",1,47,1,4,3,4,4,2.27272727272727,1.3,3.75,2,100,1
37,NA,NA,NA,NA,3.432,160.628,161.587,30,3,1,1,1,3,6,6,6,5,20,20,20,20,20,3,3,3,1,3,1,1,1,4,3,3,4,1,4,3,4,3,1,2,1,3,5,7,5,3,4,4,4,NA,NA,"","other","Middle Eastern ",3,2,"",2,NA,1,2,2,5,2.85714285714286,3.27272727272727,1.6,5.5,4,80,1
38,NA,NA,NA,NA,8.142,125.71,147.509,4,3,1,1,2,1,5,7,7,2,0,0,0,0,100,3,2,3,2,1,1,1,1,2,1,1,4,2,4,2,2,4,1,2,2,3,5,6,5,3,4,4,4,1996,"man","","white","",3,4,"I am politically neutral.",2,24,1,1,1,5,1.85714285714286,2.63636363636364,1.5,5.25,4,0,0
39,9.772,158.654,163.651,39,NA,NA,NA,NA,2,1,5,5,4,7,4,5,5,100,0,0,0,0,1,4,1,4,1,3,3,2,1,1,4,5,5,3,5,1,4,1,2,1,1,4,4,5,6,4,3,3,1999,"man","","latinx","",2,3,"",1,21,1,4,3,2,4.71428571428571,1.90909090909091,3.2,3.75,3.33333333333333,100,1
40,1.412,146.353,147.8,26,NA,NA,NA,NA,2,2,2,3,2,6,3,4,5,33,33,0,0,34,3,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,3,1,1,1,2,4,4,3,5,1,1,1,NA,"woman","","white","",4,1,"",1,NA,1,5,4,3,3.85714285714286,1.72727272727273,1.1,3.5,1,66,1
41,NA,NA,NA,NA,0,0,225.926,0,3,1,1,2,2,6,5,6,2,0,0,0,0,100,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,2,1,1,5,5,5,5,5,5,5,1984,"woman","","white","",3,6,"",2,36,1,3,2,3,2.57142857142857,1.63636363636364,1,4.5,5,0,0
42,NA,NA,NA,NA,126.931,141.136,144.206,3,3,1,2,1,2,5,7,7,2,0,0,0,0,100,4,1,2,1,2,2,1,1,2,2,1,4,2,2,1,3,4,1,2,1,3,5,6,4,2,5,5,4,1983,"man","","white","",3,8,"",2,37,1,1,1,6,2,2.72727272727273,1.2,5.25,4.66666666666667,0,0
43,NA,NA,NA,NA,32.866,186.109,200.716,29,3,1,1,1,1,6,7,7,1,100,0,0,0,0,5,1,1,1,2,1,1,1,3,2,1,4,1,4,1,2,4,1,2,1,4,6,5,5,2,4,3,5,1986,"woman","","white","",4,5,"",2,34,1,1,1,6,1.71428571428571,3,1,5.5,4,100,1
44,0,0,202.094,0,NA,NA,NA,NA,2,2,4,4,4,5,5,4,5,25,25,25,25,0,4,2,3,1,4,1,4,2,2,3,1,4,1,4,3,4,4,2,2,2,3,6,6,6,2,1,1,1,1975,"woman","","black","",4,6,"",1,45,1,3,4,6,4.14285714285714,3.36363636363636,1.9,6,1,100,1
46,0,0,151.219,0,NA,NA,NA,NA,2,1,2,1,1,7,5,6,7,5,65,25,5,0,5,2,5,1,4,1,1,1,4,4,1,5,1,5,2,5,5,2,5,1,4,6,6,7,1,6,6,5,1970,"woman","","white","",3,9,"",1,50,1,3,2,7,3.28571428571429,4.63636363636364,1.3,6.5,5.66666666666667,100,1
47,135.571,136.88,141.372,2,NA,NA,NA,NA,2,2,5,2,2,4,4,3,6,0,0,0,0,100,2,3,3,1,3,2,1,3,2,1,3,3,1,1,1,1,2,3,2,1,3,4,3,2,5,3,2,5,1989,"man","","white","",3,10,"",1,31,1,4,5,3,4,2.09090909090909,1.9,3,3.33333333333333,0,0
48,0.743,141.085,141.127,83,NA,NA,NA,NA,2,1,5,4,5,3,6,6,4,15,0,0,0,85,3,2,5,4,2,3,5,3,3,2,4,4,4,3,3,4,3,3,4,3,3,3,3,3,4,2,3,3,2000,"woman","","black","",2,6,"",1,20,1,2,2,4,3.57142857142857,3.27272727272727,3.4,3.25,2.66666666666667,15,1
49,0,0,442.598,0,NA,NA,NA,NA,2,1,3,2,2,3,5,5,5,20,20,20,20,20,2,4,3,4,2,2,3,1,2,3,4,3,2,3,3,2,3,2,2,2,3,5,4,3,4,2,2,4,1982,"woman","","white","",4,11,"",1,38,1,3,3,4,3,2.54545454545455,2.7,4,2.66666666666667,80,1
50,NA,NA,NA,NA,34.2,43.168,148.563,6,3,1,2,4,1,5,7,7,1,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,1,1,2,6,1,1,1,1975,"man","","white","",5,2,"",2,45,1,1,1,2,2.14285714285714,1.36363636363636,1,1.5,1,80,1
51,415.846,419.414,420.742,2,NA,NA,NA,NA,2,1,5,5,4,4,5,3,3,0,0,0,0,100,4,4,4,3,2,3,3,3,3,1,3,3,4,4,3,4,2,3,4,2,3,5,3,4,3,4,3,4,1999,"man","","white","",2,3,"",1,21,1,3,5,5,4.14285714285714,3.09090909090909,3.1,4.25,3.66666666666667,0,0
54,104.803,124.626,146.063,8,NA,NA,NA,NA,2,2,3,2,2,6,4,3,6,10,30,10,30,20,3,1,2,1,2,2,1,1,2,3,2,2,2,2,1,3,4,3,3,1,3,5,4,3,5,5,3,6,1996,"man","","white","",3,2,"",1,24,1,4,5,3,4,2.63636363636364,1.5,3.75,4.66666666666667,80,1
55,NA,NA,NA,NA,0,0,148.287,0,3,1,2,2,2,6,6,6,2,50,0,0,50,0,4,1,3,1,3,2,1,1,3,3,1,3,1,3,1,3,4,1,2,1,3,7,5,5,3,3,2,3,1997,"woman","","white","",4,7,"",2,23,1,2,2,5,2.57142857142857,3.09090909090909,1.1,5.5,2.66666666666667,100,1
56,4.562,277.922,280.031,23,NA,NA,NA,NA,2,2,4,4,1,6,2,2,6,0,0,0,0,100,4,1,4,1,3,2,1,2,4,2,1,5,3,3,2,4,5,2,3,1,4,5,4,5,2,4,3,4,1989,"man","","white","",2,3,"",1,31,1,6,6,6,4.71428571428571,3.72727272727273,1.6,5,3.66666666666667,0,0
57,NA,NA,NA,NA,167.732,167.732,263.193,1,3,1,4,3,3,5,5,5,5,0,0,0,0,100,5,1,4,1,4,2,1,1,4,1,1,4,2,4,1,4,5,1,5,1,4,5,4,5,3,4,4,4,1992,"man","","white","",3,8,"",2,28,1,3,3,5,3.71428571428571,4,1.2,4.75,4,0,0
58,5.374,176.93,213.84,12,NA,NA,NA,NA,2,2,1,2,4,4,7,5,2,10,10,5,0,75,3,1,2,1,2,1,1,1,2,2,1,4,1,2,1,2,3,1,2,1,5,7,7,7,1,7,7,7,1986,"woman","","white","",3,6,"",1,34,1,1,3,7,2.42857142857143,2.63636363636364,1,7,7,25,1
59,NA,NA,NA,NA,4.501,9.188,201.704,4,3,1,3,2,2,5,5,2,5,0,0,0,0,100,2,1,1,1,1,1,1,3,1,1,3,1,1,1,3,1,3,1,1,3,1,1,1,1,7,2,1,2,1990,"woman","","black","",5,7,"",2,30,1,3,6,1,3.71428571428571,1.27272727272727,1.8,1,1.66666666666667,0,0
60,0,0,163.501,0,NA,NA,NA,NA,2,2,1,2,1,5,6,5,5,0,0,100,0,0,5,1,3,1,4,1,1,1,4,3,1,5,1,5,1,3,5,1,5,1,4,5,4,3,3,2,2,1,1967,"woman","","white","",5,4,"",1,53,1,2,3,5,2.71428571428571,4.18181818181818,1,4.25,1.66666666666667,100,1
61,NA,NA,NA,NA,9.494,270.705,281.086,41,3,1,4,5,1,3,4,6,2,20,20,20,20,20,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,4,1,5,1,5,6,5,7,1,6,6,6,1995,"woman","","black","",5,7,"",2,25,1,4,2,7,3,4.90909090909091,1,6.25,6,80,1
62,NA,NA,NA,NA,45.381,129.001,141.818,5,3,1,1,2,5,6,5,5,3,50,50,0,0,0,1,1,1,2,1,1,1,1,1,3,2,2,1,1,1,1,3,1,1,1,2,5,5,5,3,3,3,5,1994,"man","","white","",4,5,"",2,26,1,3,3,5,3.28571428571429,1.54545454545455,1.2,5,3.66666666666667,100,1
63,118.002,133.513,143.248,4,NA,NA,NA,NA,2,1,1,6,2,5,7,7,5,0,0,0,0,100,5,1,2,1,5,1,1,1,5,4,3,5,1,4,1,5,5,1,5,1,4,6,7,6,2,4,4,4,1986,"woman","","white","",2,3,"There is more hapiness in giving, but you do need balance. ",1,34,1,1,1,6,3,4.45454545454545,1.2,6.25,4,0,0
64,NA,NA,NA,NA,5.727,134.779,145.264,15,3,1,7,7,5,5,6,6,5,76,24,0,0,0,4,4,4,5,5,5,4,5,5,5,4,4,5,4,4,5,4,4,4,5,5,7,5,7,6,6,7,6,1988,"man","","white","",5,12,"",2,32,1,2,2,2,4.71428571428571,4.45454545454545,4.5,5.25,6.33333333333333,100,1
66,NA,NA,NA,NA,10.344,254.711,254.778,27,3,1,4,4,3,5,5,6,4,0,0,0,0,100,2,2,3,2,3,1,1,2,3,2,2,2,1,3,1,3,3,2,3,1,3,3,3,4,4,4,4,4,2001,"man","","white","",2,2,"Everything was good",2,19,1,3,2,4,3.57142857142857,2.72727272727273,1.5,3.5,4,0,0
67,NA,NA,NA,NA,0.963,197.559,200.128,50,3,1,2,2,1,6,4,4,2,52,0,0,0,48,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,4,1,1,1,1,4,1,4,5,1,1,1,1994,"woman","","latinx","",4,2,"",2,26,1,4,4,3,3,1.54545454545455,1,3,1,52,1
69,NA,NA,NA,NA,0,0,176.646,0,3,1,2,4,5,4,7,6,3,15,10,15,10,50,5,2,3,2,2,1,1,1,4,4,1,4,1,4,5,3,4,2,3,1,3,6,5,4,5,1,1,1,2000,"woman","","white","",3,9,"",2,20,1,1,2,3,3,3.54545454545455,1.7,4.5,1,50,1
70,NA,NA,NA,NA,0,0,161.969,0,3,1,6,5,3,6,4,5,5,34,20,21,9,16,3,3,3,2,3,2,4,4,3,3,4,4,4,4,3,4,3,3,2,4,3,6,5,5,5,5,4,5,1975,"man","","white","",5,12,"",2,45,1,4,3,3,4.57142857142857,3.18181818181818,3.3,4.75,4.66666666666667,84,1
71,NA,NA,NA,NA,30.826,36.655,272.791,2,3,1,1,1,2,3,7,6,2,100,0,0,0,0,5,1,3,1,4,1,1,1,5,5,1,5,1,4,1,4,5,2,2,1,4,6,3,2,5,1,1,1,1993,"woman","","white","",5,7,"Great survey! Very interesting. Also, the font on the first grid is hard to read, if you could increase size that would be helpful.",2,27,1,1,2,3,1.71428571428571,4.18181818181818,1.1,3.5,1,100,1
72,14.678,261.475,272.164,8,NA,NA,NA,NA,2,1,4,3,2,4,3,5,6,30,50,20,0,0,5,1,4,1,3,1,1,1,4,4,1,3,1,5,1,3,5,1,3,1,4,6,5,5,2,2,1,1,1997,"woman","","white","",4,12,"",1,23,1,5,3,6,3.85714285714286,3.90909090909091,1,5.5,1.33333333333333,100,1
73,2.335,241.95,242.711,89,NA,NA,NA,NA,2,1,3,3,4,4,4,4,4,0,0,0,20,80,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,2,1,4,7,6,7,1,4,4,3,1982,"man","","white","",4,6,"",1,38,1,4,4,7,3.71428571428571,2.18181818181818,1.1,6.75,3.66666666666667,20,1
74,NA,NA,NA,NA,5.882,285.137,286.326,22,3,1,2,1,2,2,6,6,5,1,14,6,11,68,4,2,4,2,5,2,2,2,4,4,2,4,1,3,3,4,4,2,4,1,4,6,3,5,2,5,5,6,1982,"woman","","black","",5,5,"",2,38,1,2,2,6,2.28571428571429,4,1.9,5,5.33333333333333,32,1
75,103.949,129.105,151.471,5,NA,NA,NA,NA,2,2,7,3,1,7,2,3,7,0,0,0,0,100,4,1,1,1,1,1,1,1,1,3,1,4,1,1,1,4,4,2,1,1,2,2,2,1,4,2,2,2,1985,"man","","white","",5,2,"",1,35,1,6,5,4,5.14285714285714,2.36363636363636,1.1,2.25,2,0,0
76,3.576,141.138,141.816,56,NA,NA,NA,NA,2,2,5,4,4,7,2,2,7,0,0,0,0,100,5,3,1,5,4,1,5,3,1,1,4,4,3,1,5,4,5,3,5,5,3,1,5,5,3,1,1,1,1983,"woman","","latinx","",4,5,"",1,37,1,6,6,5,5.57142857142857,3.09090909090909,3.7,4,1,0,0
77,1.695,136.953,142.911,41,NA,NA,NA,NA,2,2,1,1,1,5,6,7,2,0,0,0,0,100,4,1,1,1,2,1,1,1,1,2,1,2,1,1,1,3,4,1,1,1,4,4,2,2,6,3,2,4,1987,"man","","asian","",4,3,"",1,33,1,2,1,2,1.85714285714286,2.27272727272727,1,2.5,3,0,0
78,0,0,249.698,0,NA,NA,NA,NA,2,1,1,1,1,5,4,4,4,0,100,0,0,0,2,4,1,3,2,1,3,2,1,2,3,3,1,2,4,2,3,4,2,4,2,5,4,4,2,1,1,1,1983,"man","","white","",5,7,"It wasn't clear to me whether the question about whether Helping others makes Jeff happy was an attention check or an opinion question. The article emphasized that long term sacrifice made Jeff less happy, but helping in general makes him happy. So either are acceptable answers according to the reading.",1,37,1,4,4,6,2.85714285714286,2,2.9,4.75,1,100,1
79,108.891,286.521,339.189,5,NA,NA,NA,NA,2,2,2,3,3,6,4,5,5,50,50,0,0,0,5,2,4,2,4,1,2,1,3,3,1,3,1,4,3,4,4,1,4,2,4,5,5,4,2,1,1,1,1995,"woman","","other","Mixed (Asian/White)",5,10,"",1,25,1,4,3,6,3.71428571428571,3.81818181818182,1.6,5,1,100,1
80,90.318,141.748,142.543,6,NA,NA,NA,NA,2,2,2,1,2,6,6,5,5,10,19,20,51,0,2,2,2,1,2,2,2,1,2,1,1,3,1,3,2,2,3,1,1,1,3,4,3,3,5,1,1,1,1997,NA,"","white","",3,1,"",1,23,1,2,3,3,3,2.18181818181818,1.4,3.25,1,100,1
81,NA,NA,NA,NA,138.805,138.805,141.861,1,3,1,1,2,1,4,7,7,2,25,25,25,25,0,2,1,1,1,3,1,1,1,2,2,1,5,1,3,1,3,5,1,2,1,3,5,3,5,4,2,1,2,1953,"woman","","white","",5,3,"Nothing to add, thank you.",2,67,1,1,1,4,1.71428571428571,2.81818181818182,1,4.25,1.66666666666667,100,1
82,0,0,287.727,0,NA,NA,NA,NA,2,1,4,2,2,4,5,4,4,0,0,0,0,100,2,3,2,1,2,1,1,1,2,2,1,1,1,1,3,2,3,3,2,1,1,4,3,2,4,3,3,3,1995,"man","","white","",4,1,"",1,25,1,3,4,4,3.28571428571429,1.81818181818182,1.6,3.25,3,0,0
83,7.07,178.094,189.747,22,NA,NA,NA,NA,2,1,3,2,4,4,4,4,3,20,20,20,20,20,3,1,3,1,3,1,1,1,3,3,1,3,1,3,1,3,3,1,3,1,4,5,5,5,3,4,4,4,1994,"man","","white","",2,4,"Good survey ",1,26,1,4,4,5,3.42857142857143,3.09090909090909,1,5,4,80,1
84,NA,NA,NA,NA,79.553,111.059,155.807,5,3,1,1,1,1,2,7,7,1,33,34,33,0,0,5,1,4,1,2,1,1,1,4,4,1,5,1,3,3,2,4,1,2,2,5,6,5,5,1,2,1,2,1989,"woman","","white","",5,11,"",2,31,1,1,1,7,1.14285714285714,3.63636363636364,1.3,5.75,1.66666666666667,100,1
85,NA,NA,NA,NA,0,0,188.392,0,3,1,1,1,5,5,6,6,5,0,0,0,0,100,3,1,1,1,2,1,1,1,4,1,1,1,1,4,1,4,4,1,1,1,4,6,6,5,6,3,1,1,1988,"woman","","white","",4,6,"",2,32,1,2,2,2,3,2.63636363636364,1,4.75,1.66666666666667,0,0
86,NA,NA,NA,NA,0,0,279.943,0,3,1,6,1,2,1,7,7,2,30,40,0,0,30,5,1,4,1,4,1,1,1,5,4,1,3,1,5,1,4,5,1,5,1,4,7,7,7,1,5,6,6,1978,"woman","","asian","",4,8,"",2,42,1,1,1,7,2,4.36363636363636,1,7,5.66666666666667,70,1
