"PID","Q26_First.Click","Q26_Last.Click","Q26_Page.Submit","Q26_Click.Count","Q28_First.Click","Q28_Last.Click","Q28_Page.Submit","Q28_Click.Count","attCheck1","attCheck2","BZSH_1","BZSH_2","BZSH_3","BZSH_4","BZSH_5","BZSH_6","BZSH_7","spend_1","spend_2","spend_3","spend_4","spend_5","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","PANAS_21","ideo_general","ideo_social","ideo_economic","dob","gender","gender_3_TEXT","race","race_5_TEXT","edu","income","reason_charity","reason_keep","feedback","condition","age","passCheck1","passCheck2","BZSH_5R","BZSH_6R","BZSH","PANASpos","PANASneg","ideo","totalDonation","donated"
15,0,0,101.443,0,NA,NA,NA,NA,2,2,3,2,3,5,4,4,4,100,0,0,0,0,2,2,1,1,2,1,1,1,1,1,3,2,1,1,2,1,2,2,1,1,2,3,2,3,1993,"man","","white","",4,4,"Because it was such a small amount it made no difference to me","","",1,28,1,1,4,4,3.57142857142857,1.45454545454545,1.5,2.66666666666667,100,1
17,NA,NA,NA,NA,5,75.594,123.473,2,3,1,2,2,2,5,6,6,2,0,0,0,0,100,2,3,2,1,2,1,1,1,2,2,3,2,1,2,3,2,2,3,2,1,2,5,5,5,1970,"man","","white","",3,4,"","didnt really like any of charities and dont trust most charities, and after this year, i save all ic an","",2,51,1,1,2,2,2.42857142857143,2,1.8,5,0,0
18,30.25,49.676,111.338,13,NA,NA,NA,NA,2,1,6,6,4,6,5,6,6,40,10,25,25,0,3,4,3,3,2,4,4,2,3,2,2,2,4,3,4,2,3,2,2,4,3,4,4,4,1993,"man","","latinx","",3,4,"it seemed like the right thing to do ","","",1,28,1,0,3,2,4.71428571428571,2.54545454545455,3.3,4,100,1
19,NA,NA,NA,NA,9.539,44.651,109.001,4,3,1,1,1,1,2,7,7,1,25,25,25,25,0,5,1,3,1,4,1,1,1,4,5,1,5,1,5,1,5,5,1,4,1,5,2,2,2,1973,"woman","","black","",4,5,"I try to help others as much as possible.","","",2,48,1,1,1,1,1.14285714285714,4.54545454545455,1,2,100,1
20,NA,NA,NA,NA,1.586,100.577,103.51,32,3,1,1,1,1,5,7,7,1,50,0,0,0,50,3,1,3,1,3,1,1,1,3,4,1,4,1,3,1,4,4,1,3,1,4,5,3,6,1989,"man","","white","",4,9,"I had someone close to me get diagnosed with cancer","","",2,32,1,1,1,1,1.57142857142857,3.45454545454545,1,4.66666666666667,50,1
21,0,0,107.783,0,NA,NA,NA,NA,2,1,4,3,3,5,3,3,5,0,30,0,0,70,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,3,3,2,1,3,3,3,1997,"man","","asian","",3,12,"the charity seemed relatable to a struggle i distantly face","","",1,24,1,0,5,5,4.28571428571429,2.09090909090909,2.3,3,30,1
22,NA,NA,NA,NA,0,0,140.036,0,3,1,2,1,3,6,5,6,6,50,0,0,0,50,4,1,1,1,4,1,1,1,4,5,1,3,1,4,2,2,4,1,3,1,4,2,2,3,1992,"woman","","black","",5,5,"interested in that cause","",":)",2,29,1,1,3,2,3.28571428571429,3.45454545454545,1.1,2.33333333333333,50,1
25,0,0,138.061,0,NA,NA,NA,NA,2,1,2,2,2,5,6,4,5,0,5,5,0,90,4,1,2,1,3,1,1,1,2,2,1,2,1,3,2,3,4,1,2,1,2,3,2,3,1954,"woman","","white","",4,6,"Makes me feel good","","",1,67,1,0,2,4,3.14285714285714,2.63636363636364,1.1,2.66666666666667,10,1
26,NA,NA,NA,NA,2.079,118.945,119.96,5,3,1,1,2,2,2,7,7,3,20,40,20,20,0,4,1,3,1,3,1,1,1,2,2,1,3,1,2,1,3,4,1,3,1,4,3,3,3,1987,"woman","","white","",5,6,"Because I generally wish I were more charitable and volunteered more, and as small as it is, donating the bonus feels like I am helping to give back.","","",2,34,1,1,1,1,1.71428571428571,3,1,3,100,1
27,30.382,94.734,103.127,4,NA,NA,NA,NA,2,1,5,6,6,4,6,6,5,20,13,19,16,32,3,4,3,3,3,5,4,3,4,4,5,3,4,5,4,5,5,5,4,4,4,6,7,6,1995,"man","","white","",4,6,"Might as well help others","","",1,26,1,0,2,2,4.28571428571429,3.90909090909091,4.1,6.33333333333333,68,1
28,NA,NA,NA,NA,0,0,102.127,0,3,1,1,1,1,3,6,6,2,0,0,0,10,90,2,1,1,2,2,1,1,1,2,1,1,3,1,2,1,2,3,1,2,1,3,1,1,1,1996,"woman","","white","",4,6,"I meant to put it the other way round! If that's possible.","","",2,25,1,1,2,2,1.71428571428571,2.09090909090909,1.1,1,10,1
29,NA,NA,NA,NA,11.594,99.971,101.779,88,3,1,1,3,5,5,5,6,3,0,0,0,100,0,4,1,3,2,3,2,2,1,4,4,2,3,3,4,2,3,4,3,4,2,3,2,1,3,1995,"man","","white","",4,6,"My friend is an epidemiologist. It seems only right to do.","","Most interesting study I've been a part of.",2,26,1,1,3,2,3.14285714285714,3.54545454545455,2,2,100,1
30,3.185,21.83,107.47,7,NA,NA,NA,NA,2,2,4,3,2,5,5,5,3,0,0,0,0,100,4,1,4,1,4,1,1,1,4,5,1,5,1,3,2,4,5,1,4,1,5,4,2,5,1986,"man","","white","",4,14,"","To maximize my hourly rate while completing tasks.","",1,35,1,1,3,3,3.28571428571429,4.27272727272727,1.1,3.66666666666667,0,0
31,NA,NA,NA,NA,85.281,85.838,112.365,2,3,1,2,2,1,4,6,6,2,25,25,25,25,0,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,3,1,1,1,1,2,2,2,1994,"woman","","white","",4,5,"Because giving back makes me feel good/happy and I never really had the money so I wasn't attached to it","","",2,27,1,1,2,2,2.14285714285714,1.45454545454545,1.1,2,100,1
32,26.623,64.877,106.52,7,NA,NA,NA,NA,2,1,3,5,2,7,2,3,6,0,0,0,100,0,3,2,1,1,1,2,3,1,2,1,1,4,1,1,2,1,4,4,2,3,2,3,2,3,1990,"woman","","white","",4,6,"The sooner we have wide-spread immunity to Covid-19, the sooner everyone can return to a more normal life.","","",1,31,1,0,6,5,4.85714285714286,2,2,2.66666666666667,100,1
33,NA,NA,NA,NA,0,0,121.707,0,3,1,1,2,1,2,6,6,2,0,33,33,34,0,2,1,2,1,2,1,1,1,3,2,1,3,1,2,1,3,2,1,2,1,3,1,1,1,1984,"woman","","white","",5,6,"i have been making an effort to give more to charity this year. every month i give $20 to a different chairity. Since i was being given an etra dollar that i didn't expect, i gave it away as well, since the article talked about the benefits of selflessness. ","","",2,37,1,1,2,2,1.71428571428571,2.36363636363636,1,1,100,1
34,0,0,140.771,0,NA,NA,NA,NA,2,2,5,2,5,6,5,5,3,0,100,0,0,0,3,2,2,1,1,2,1,1,2,4,1,3,1,3,1,1,3,1,3,1,3,1,1,1,1989,"man","","white","",5,2,"homelessness is a major problem in this country and this was a low effort method to help out","","",1,32,1,1,3,3,3.85714285714286,2.54545454545455,1.2,1,100,1
35,NA,NA,NA,NA,0,0,103.649,0,3,1,1,2,1,4,6,6,3,30,30,30,0,10,4,2,3,2,1,2,1,1,1,2,2,4,2,1,1,3,5,1,1,1,3,5,3,6,2001,"woman","","white","",3,10,"To be honest? I felt like it was a part of the study to see if I would after reading about the positive effects of helping others, so I did. I didn't feel like my 30 cents would do much for anyone, but I decided to give it anyway.","","None",2,20,1,1,2,2,2.14285714285714,2.54545454545455,1.5,4.66666666666667,90,1
36,NA,NA,NA,NA,19.678,119.886,120.652,5,3,1,3,3,2,6,5,5,5,25,25,25,25,0,2,1,2,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,2,1,2,2,2,3,1997,"woman","","asian","",3,2,"I was okay with the default payment.","","Good luck with your research.",2,24,1,1,3,3,3.57142857142857,1.72727272727273,1,2.33333333333333,100,1
37,41.361,101.605,177.74,11,NA,NA,NA,NA,2,1,2,2,2,6,5,5,6,100,0,0,0,0,4,1,1,1,3,1,1,1,1,3,1,4,1,2,1,4,4,1,1,1,3,3,3,5,1984,"man","","white","",3,8,"Cancer sucks. I'd rather that $1 I wasn't expecting go somewhere where it might be of use.","","",1,37,1,0,3,3,3.42857142857143,2.72727272727273,1,3.66666666666667,100,1
38,NA,NA,NA,NA,0,0,190.123,0,3,1,2,3,4,6,2,4,5,0,0,0,0,100,3,1,1,1,3,1,1,1,1,2,1,3,1,1,1,4,4,1,2,1,1,2,3,1,1988,"man","","white","",5,10,"","One dollar will be more impactful to me than to huge charities that collect many millions of dollars in donations.","",2,33,1,1,6,4,4.28571428571429,2.27272727272727,1,2,0,0
39,11.187,11.187,111.843,1,NA,NA,NA,NA,2,1,6,4,2,7,4,3,4,0,0,0,0,100,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,3,2,2,2,1989,"woman","","white","",2,10,"","Because I don't like to be encouraged to donate. I do so on my own time after I've looked into all the places I want to consider donating to. I don't like feeling like I'm being manipulated into donating, either.","",1,32,1,0,4,5,4.57142857142857,1.72727272727273,1,2,0,0
41,4.738,93.259,102.238,3,NA,NA,NA,NA,2,1,3,2,3,6,6,6,5,15,15,15,15,40,4,2,2,1,2,2,1,1,3,2,1,3,1,3,2,4,3,1,3,1,3,3,3,3,1990,"man","","asian","",5,14,"I think that the causes are important","","",1,31,1,0,2,2,3.28571428571429,2.90909090909091,1.3,3,60,1
42,NA,NA,NA,NA,74.953,96.02,140.664,9,3,1,1,1,2,5,7,7,2,0,0,0,0,100,2,1,1,1,4,1,1,1,3,4,1,3,1,3,1,3,3,1,3,1,3,1,1,1,1987,"man","","asian","",3,4,"","Because I need charity too, and not knowing anything about these groups, they probably spend everything on overhead. I donate in other situations.","",2,34,1,1,1,1,1.85714285714286,2.90909090909091,1,1,0,0
43,NA,NA,NA,NA,0,0,148.877,0,3,1,1,1,1,5,7,7,1,25,25,25,25,0,4,1,3,1,4,1,1,1,3,2,1,3,1,3,1,4,4,1,3,1,3,4,4,4,1967,"woman","","white","",3,8,"TO HELP","","",2,54,1,1,1,1,1.57142857142857,3.27272727272727,1,4,100,1
44,NA,NA,NA,NA,15.403,116.339,160.651,4,3,1,1,1,2,6,5,6,4,0,0,0,0,100,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,4,1,2,1,3,2,2,2,1992,"man","","latinx","",4,11,"","I'm poor.","",2,29,1,1,3,2,2.71428571428571,1.81818181818182,1,2,0,0
46,NA,NA,NA,NA,6.616,101.111,101.438,7,3,1,2,2,2,2,5,5,2,0,0,0,0,100,3,1,2,1,4,2,1,1,4,2,1,4,2,3,1,4,5,1,3,1,3,3,2,3,1980,"man","","asian","",4,4,"","I need the money.","NA.",2,41,1,1,3,3,2.28571428571429,3.36363636363636,1.2,2.66666666666667,0,0
47,NA,NA,NA,NA,33.336,38.157,103.931,3,3,1,1,2,1,6,7,6,3,41,0,0,0,59,4,1,4,1,4,2,1,1,4,4,1,1,2,4,1,3,4,1,4,1,4,3,3,3,1990,"man","","white","",4,10,"my mother suffered from leukemia","","",2,31,1,1,1,2,2.28571428571429,3.63636363636364,1.2,3,41,1
48,NA,NA,NA,NA,100.515,100.515,101.348,1,3,1,1,1,2,2,7,7,3,0,100,0,0,0,4,1,1,1,3,2,1,1,4,2,1,5,1,2,1,3,5,1,2,1,3,1,1,1,1982,"woman","","white","",5,10,"I had already agreed to do the survey for the original (base) compensation. ","","",2,39,1,1,1,1,1.57142857142857,3.09090909090909,1.1,1,100,1
50,0,0,205.291,0,NA,NA,NA,NA,2,2,1,3,2,6,4,5,4,0,100,0,0,0,3,1,1,2,1,2,1,1,1,1,1,3,2,2,1,1,3,1,1,1,2,2,2,2,1999,"woman","","white","",3,8,"I see homelessness firsthand and know how much more they need the money than I do.","","",1,22,1,1,4,3,3.28571428571429,1.72727272727273,1.3,2,100,1
51,NA,NA,NA,NA,0,0,101.727,0,3,1,1,1,2,5,6,5,5,0,0,0,0,100,2,4,2,2,1,2,2,3,2,1,3,3,2,3,3,2,3,4,3,1,3,2,2,3,1990,"woman","","asian","",5,1,"","I need the money","",2,31,1,1,2,3,2.71428571428571,2.27272727272727,2.6,2.33333333333333,0,0
52,0,0,110.485,0,NA,NA,NA,NA,2,2,3,3,3,6,5,4,5,0,0,100,0,0,2,1,1,2,1,1,1,1,1,1,2,3,1,1,3,1,3,1,1,1,2,2,1,2,1993,"woman","","white","",4,8,"I wanted to","","",1,28,1,1,3,4,3.85714285714286,1.54545454545455,1.4,1.66666666666667,100,1
53,0,0,141.909,0,NA,NA,NA,NA,2,2,2,2,1,5,6,4,3,0,0,0,0,100,2,1,1,1,2,1,1,1,1,1,1,4,1,1,1,4,5,1,2,1,2,3,2,3,1965,"man","","white","",4,3,"","Because I earned it","",1,56,1,1,2,4,2.71428571428571,2.27272727272727,1,2.66666666666667,0,0
54,NA,NA,NA,NA,25.54,33.468,124.883,3,3,1,1,1,1,2,5,5,1,50,0,0,0,50,5,1,1,1,4,1,1,1,5,2,1,5,1,5,1,5,5,1,5,1,5,1,1,1,1979,"woman","","white","",3,9,"I wanted to give something but not all ","","",2,42,1,1,3,3,1.71428571428571,4.27272727272727,1,1,50,1
56,0,0,125.096,0,NA,NA,NA,NA,2,2,1,1,1,5,5,4,4,0,50,0,0,50,3,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,3,5,4,6,1979,"woman","","white","",5,11,"I wanted to ","","",1,42,1,1,3,4,2.71428571428571,1.90909090909091,1,5,50,1
57,NA,NA,NA,NA,0,0,163.877,0,3,1,6,6,5,5,6,6,5,20,18,23,16,23,4,1,4,1,4,1,1,1,4,4,1,1,1,4,1,4,4,1,4,1,4,5,6,5,1968,"man","","white","",5,11,"Charity means  needy people will get help from me why  i decide to give it.","","",2,53,1,1,2,2,4.42857142857143,3.72727272727273,1,5.33333333333333,77,1
58,NA,NA,NA,NA,7.627,7.627,134.446,1,3,1,1,1,1,1,6,6,1,0,0,0,0,100,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,3,1,4,1,1,1,1,1,1981,"man","","white","",5,4,"","I needed the money for life.","N/A",2,40,1,1,2,2,1.28571428571429,2.09090909090909,1,1,0,0
59,NA,NA,NA,NA,5.219,98.531,101.528,5,3,1,1,1,1,3,7,7,2,20,27,27,26,0,2,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,5,1,1,1,3,1,1,1,1992,"woman","","white","",4,14,"I could do without the extra dollar and if enough people also chose to give their bonus it could be a decent size donation.","","",2,29,1,1,1,1,1.42857142857143,2,1,1,100,1
60,12,12,160.894,1,NA,NA,NA,NA,2,2,7,5,3,7,3,2,6,51,0,0,0,49,2,2,2,2,3,1,2,1,2,3,3,3,1,2,3,3,3,3,2,2,2,2,2,2,1945,"man","","white","",2,3,"it was the right thing to do","","",1,76,1,1,5,6,5.57142857142857,2.45454545454545,2,2,51,1
61,NA,NA,NA,NA,3.638,101.126,101.439,5,3,1,2,1,1,6,7,6,4,9,6,6,0,79,4,1,3,1,2,1,1,1,3,2,1,2,1,4,1,3,4,2,4,1,3,3,3,4,1988,"man","","white","",3,5,"I liked the charities and thought it would help a little.","","",2,33,1,1,1,2,2.42857142857143,3.09090909090909,1.1,3.33333333333333,21,1
62,0,0,163.387,0,NA,NA,NA,NA,2,2,6,3,2,7,2,6,7,0,0,0,100,0,2,1,2,1,4,1,2,1,2,2,1,2,1,2,1,3,1,1,2,1,3,2,1,6,1998,"man","","white","",2,5,"I have enough money for myself and if there is a way to help others with little effort from myself than I am down ","","",1,23,1,1,6,2,4.71428571428571,2.27272727272727,1.1,3,100,1
63,0,0,243.74,0,NA,NA,NA,NA,2,2,5,3,3,5,1,5,7,20,20,20,20,20,3,1,2,1,2,1,1,1,2,3,1,2,1,4,1,2,2,1,3,1,4,3,2,4,2000,"man","","white","",2,14,"because I couldn't decide how much I wanted to give because the number had to be equal to 100.","","",1,21,1,1,7,3,4.71428571428571,2.63636363636364,1,3,80,1
64,NA,NA,NA,NA,0,0,103.815,0,3,1,1,2,6,1,6,6,2,0,50,0,0,50,4,1,1,1,4,1,1,1,3,4,1,5,1,2,1,4,5,1,3,1,4,1,1,1,1965,"man","","white","",4,12,"Because homeless is getting worse and I wanted to help out no matter how small it was.","","",2,56,1,1,2,2,2.28571428571429,3.54545454545455,1,1,50,1
65,NA,NA,NA,NA,0,0,116.674,0,3,1,1,1,1,3,6,4,3,15,60,0,25,0,4,2,1,1,2,1,1,1,2,2,1,4,1,2,1,3,4,1,4,1,3,2,1,3,1976,"man","","white","",4,6,"Seemed like a good thing to do.","","",2,45,1,1,2,4,2.14285714285714,2.81818181818182,1.1,2,100,1
66,6.351,164.983,183.365,12,NA,NA,NA,NA,2,2,7,2,1,7,1,1,7,0,0,0,0,100,1,1,1,2,1,2,1,1,1,1,1,3,1,2,3,2,4,3,1,2,2,1,1,1,1994,"woman","","black","",3,1,"","I don't have enough to give to others. ","",1,27,1,1,7,7,5.42857142857143,1.72727272727273,1.7,1,0,0
67,0,0,164.484,0,NA,NA,NA,NA,2,1,1,1,3,5,7,4,5,0,50,50,0,0,4,1,1,1,3,1,1,1,3,1,1,5,1,2,2,4,5,1,4,1,2,1,1,1,1999,NA,"","white","",4,2,"its only a dollar","","",1,22,1,0,1,4,2.85714285714286,3.09090909090909,1.1,1,100,1
68,0,0,161.437,0,NA,NA,NA,NA,2,2,5,3,3,5,5,5,5,0,0,0,0,100,2,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,3,2,1,1,2,5,5,5,2000,"woman","","white","",3,8,"","I decided to keep all of my bonus because I donate year round to multiple organizations. ","",1,21,1,1,3,3,3.85714285714286,1.63636363636364,1.2,5,0,0
69,18.103,67.368,175.433,5,NA,NA,NA,NA,2,2,2,4,5,7,4,5,6,10,10,50,15,15,2,4,2,1,1,1,1,1,2,1,1,3,1,2,1,1,5,1,3,1,2,3,6,2,1999,"man","","white","",2,4,"Not all, but I did it because I would like to help.","","-",1,22,1,1,4,3,4.42857142857143,2.18181818181818,1.3,3.66666666666667,85,1
70,0,0,145.96,0,NA,NA,NA,NA,2,1,2,1,2,5,5,4,3,30,25,20,25,0,3,2,2,3,3,1,1,1,3,2,1,4,1,3,3,4,3,2,3,1,3,4,3,5,1999,"man","","white","",3,4,"Its only a dollar total, may as well. Helps more that way. ","","",1,22,1,0,3,4,2.85714285714286,3,1.6,4,100,1
71,0,0,102.267,0,NA,NA,NA,NA,2,2,2,2,1,6,3,3,7,0,0,0,0,100,4,1,3,2,3,4,1,1,3,1,2,5,3,2,1,4,5,1,4,1,2,2,2,2,1986,"man","","white","",4,8,"","I thought that the bonus would be inconsequential to the charities, especially if I tried to break it up to split among multiple charities. I saw it as something that would be more beneficial to me...","",1,35,1,1,5,5,4,3.27272727272727,1.7,2,0,0
72,0,0,202.491,0,NA,NA,NA,NA,2,1,2,2,2,6,6,6,3,21,21,0,6,52,5,1,4,1,5,1,1,1,5,4,1,5,1,3,1,5,5,1,5,1,5,6,4,7,1974,"woman","","white","",4,7,"they mean something to me","","",1,47,1,0,2,2,2.71428571428571,4.63636363636364,1,5.66666666666667,48,1
74,NA,NA,NA,NA,177.133,180.417,182.235,3,3,1,5,2,3,5,5,6,4,0,0,0,0,100,4,2,3,2,4,1,1,1,3,4,2,4,1,2,2,4,4,1,3,1,3,5,5,5,1985,"man","","white","",3,7,"","I need the money","",2,36,1,1,3,2,3.42857142857143,3.45454545454545,1.4,5,0,0
75,NA,NA,NA,NA,11.032,96.51,118.168,7,3,1,2,2,2,6,6,7,3,0,0,0,5,95,2,1,3,1,4,1,1,1,3,3,2,4,1,3,1,4,4,1,2,1,4,2,2,3,1990,"woman","","white","",4,8,"I want to help COVID relief efforts. ","","",2,31,1,1,2,1,2.57142857142857,3.27272727272727,1.1,2.33333333333333,5,1
76,0,0,331.634,0,NA,NA,NA,NA,2,1,4,3,2,6,4,4,4,0,0,0,0,100,4,1,3,1,4,1,1,1,3,4,1,4,1,4,1,4,4,1,4,1,4,2,2,2,1982,"woman","","white","",4,3,"","Because I need it.","",1,39,1,0,4,4,3.85714285714286,3.81818181818182,1,2,0,0
77,18.084,158.019,159.29,63,NA,NA,NA,NA,2,1,7,7,4,6,2,4,6,0,100,0,0,0,5,1,2,1,3,1,1,1,2,3,1,2,1,2,1,2,5,2,2,1,3,1,4,1,1979,"man","","white","",4,8,"because every little bit counts","","",1,42,1,0,6,4,5.71428571428571,2.81818181818182,1.1,2,100,1
78,65.531,72.943,101.965,3,NA,NA,NA,NA,2,2,5,3,3,4,4,4,5,0,0,0,0,100,3,2,2,1,3,1,1,1,2,2,2,3,1,1,2,2,3,1,2,1,2,1,1,1,1983,"man","","white","",4,4,"","I'd rather have a dollar than donate some change to a charity","",1,38,1,1,4,4,4,2.27272727272727,1.3,1,0,0
79,NA,NA,NA,NA,0,0,141.081,0,3,1,1,1,1,5,6,7,5,0,50,0,50,0,3,1,1,2,3,1,1,1,2,3,1,4,1,2,1,3,4,1,2,1,3,4,3,5,1973,"man","","white","",4,11,"it was ""found money"" and I liked the causes that I gave to.","","",2,48,1,1,2,1,2.28571428571429,2.72727272727273,1.1,4,100,1
80,NA,NA,NA,NA,7.712,114.029,115.519,22,3,1,1,1,2,6,7,7,5,25,25,25,25,0,4,1,1,1,3,4,1,1,2,1,1,3,1,3,1,1,3,5,1,1,2,2,2,2,1987,"woman","","white","",5,14,"Karma. When asked to help you need to if you are able","","",2,34,1,1,1,1,2.42857142857143,2.18181818181818,1.7,2,100,1
81,NA,NA,NA,NA,23.152,210.428,211.249,15,3,1,3,3,4,5,5,6,3,20,10,30,40,0,4,1,3,1,3,1,1,1,4,3,1,1,1,2,1,3,2,1,1,1,4,4,5,3,1997,"man","","white","",4,6,"others need it more than me","","",2,24,1,1,3,2,3.28571428571429,2.72727272727273,1,4,100,1
82,0,0,114.433,0,NA,NA,NA,NA,2,2,2,2,5,6,5,5,6,0,0,0,0,100,3,1,1,1,2,1,1,1,2,1,2,4,1,1,2,1,5,1,1,1,2,4,2,6,1988,"man","","white","",4,10,"","Because I felt that such a small amount would benefit myself more than any of the organizations.","",1,33,1,1,3,3,3.85714285714286,2.09090909090909,1.2,4,0,0
